Fusion_PVO_Name,Fusion_Attribute_Name,DW_Table_Name,DW_Column_Name,Fusion_PVO_Prefix,SHORT_TABLE_NAME
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOBUYERID,COM_ITEM_D,BUYER_ID,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMTRANSLATIONPEOCREATIONDATE,COM_ITEM_D,CREATION_DATE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOCUMMANUFACTURINGLEADTIME,COM_ITEM_D,CUM_MANUFACTURING_LEAD_TIME,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMTRANSLATIONPEODESCRIPTION,COM_ITEM_D,DESCRIPTION,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.PrcPoPublicViewAM.BrowsingCategoryHierarchyPVO,PURCHASINGCATID,COM_ITEM_CATEGORY_D,CATEGORY_ID,file_fscmtopmodelam_prcpopublicviewam_browsingcategoryhierarchypvo-,BROWSINGCATEGORYHIERARCHYPVO
FscmTopModelAM.PrcPoPublicViewAM.BrowsingCategoryHierarchyPVO,PURCHASINGCATEGORYNAME,COM_ITEM_CATEGORY_D,PURCHASING_CATEGORY_NAME,file_fscmtopmodelam_prcpopublicviewam_browsingcategoryhierarchypvo-,BROWSINGCATEGORYHIERARCHYPVO
FscmTopModelAM.PrcPoPublicViewAM.BrowsingCategoryHierarchyPVO,PURCHASINGDESCRIPTION,COM_ITEM_CATEGORY_D,CATEGORY_DESCRIPTION,file_fscmtopmodelam_prcpopublicviewam_browsingcategoryhierarchypvo-,BROWSINGCATEGORYHIERARCHYPVO
FscmTopModelAM.PrcPoPublicViewAM.BrowsingCategoryHierarchyPVO,LEVEL1CATEGORYNAME,COM_ITEM_CATEGORY_D,BROWSING_CATEGORY_LEVEL_2,file_fscmtopmodelam_prcpopublicviewam_browsingcategoryhierarchypvo-,BROWSINGCATEGORYHIERARCHYPVO
FscmTopModelAM.PrcPoPublicViewAM.BrowsingCategoryHierarchyPVO,LEVEL2CATEGORYNAME,COM_ITEM_CATEGORY_D,BROWSING_CATEGORY_LEVEL_3,file_fscmtopmodelam_prcpopublicviewam_browsingcategoryhierarchypvo-,BROWSINGCATEGORYHIERARCHYPVO
FscmTopModelAM.CatalogAM.CatalogCategoryAssignP1,CATEGORYBASEPEOCATEGORYCODE,COM_ITEM_CATEGORY_D,CATEGORY_CODE,file_fscmtopmodelam_catalogam_catalogcategoryassignp1-,CATALOGCATEGORYASSIGNP1
FscmTopModelAM.EgpItemsPublicModelAM.ItemCategory,CATEGORYID,COM_ITEM_D,CATEGORY_ID,file_fscmtopmodelam_egpitemspublicmodelam_itemcategory-,ITEMCATEGORY
FscmTopModelAM.PrcPoPublicViewAM.BrowsingCategoryHierarchyPVO,LASTUPDATEDATE,COM_ITEM_CATEGORY_D,LAST_UPDATE_DATE,file_fscmtopmodelam_prcpopublicviewam_browsingcategoryhierarchypvo-,BROWSINGCATEGORYHIERARCHYPVO
FscmTopModelAM.EgpItemsPublicModelAM.ItemCategory,CATEGORYTRANSLATIONPEOCATEGORYNAME,COM_ITEM_D,CATEGORY_NAME,file_fscmtopmodelam_egpitemspublicmodelam_itemcategory-,ITEMCATEGORY
FscmTopModelAM.EgpItemsPublicModelAM.ItemCategory,CATEGORYSETID,COM_ITEM_D,CATEGORY_SET_ID,file_fscmtopmodelam_egpitemspublicmodelam_itemcategory-,ITEMCATEGORY
FscmTopModelAM.EgpItemsPublicModelAM.ItemCategory,CATEGORYTRANSLATIONPEODESCRIPTION,COM_ITEM_D,CATEGORY_DESCRIPTION,file_fscmtopmodelam_egpitemspublicmodelam_itemcategory-,ITEMCATEGORY
FscmTopModelAM.EgpItemsPublicModelAM.ItemCategory,CATALOGTRANSLATIONPEOCATEGORYSETNAME,COM_ITEM_D,CATEGORY_SET_NAME,file_fscmtopmodelam_egpitemspublicmodelam_itemcategory-,ITEMCATEGORY
FscmTopModelAM.EgpItemsPublicModelAM.ItemCategory,CATALOGTRANSLATIONPEOLANGUAGE,COM_ITEM_D,CATEGORY_LANGUAGE,file_fscmtopmodelam_egpitemspublicmodelam_itemcategory-,ITEMCATEGORY
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOENDDATEACTIVE,COM_ITEM_D,END_DATE_ACTIVE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOFULLLEADTIME,COM_ITEM_D,FULL_LEAD_TIME,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMID,COM_ITEM_D,INVENTORY_ITEM_ID,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOINVENTORYITEMSTATUSCODE,COM_ITEM_D,INVENTORY_ITEM_STATUS_CODE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOINVOICEENABLEDFLAG,COM_ITEM_D,INVOICE_ENABLED_FLAG,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOINVOICEABLEITEMFLAG,COM_ITEM_D,INVOICEABLE_ITEM_FLAG,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOITEMNUMBER,COM_ITEM_D,ITEM_NUMBER,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOITEMTYPE,COM_ITEM_D,ITEM_TYPE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMTRANSLATIONPEOLASTUPDATEDATE,COM_ITEM_D,LAST_UPDATE_DATE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOMAXIMUMORDERQUANTITY,COM_ITEM_D,MAXIMUM_ORDER_QUANTITY,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOMINIMUMORDERQUANTITY,COM_ITEM_D,MINIMUM_ORDER_QUANTITY,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOMRPPLANNINGCODE,COM_ITEM_D,MRP_PLANNING_CODE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,ORGANIZATIONID,COM_ITEM_D,ORGANIZATION_ID,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOPLANNERCODE,COM_ITEM_D,PLANNER_CODE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOPLANNINGTIMEFENCEDAYS,COM_ITEM_D,PLANNING_TIME_FENCE_DAYS,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOPRIMARYUOMCODE,COM_ITEM_D,PRIMARY_UOM_CODE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOSHELFLIFEDAYS,COM_ITEM_D,SHELF_LIFE_DAYS,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOSOURCESUBINVENTORY,COM_ITEM_D,SOURCE_SUB_INVENTORY,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOSTARTDATEACTIVE,COM_ITEM_D,START_DATE_ACTIVE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOSTDLOTSIZE,COM_ITEM_D,STD_LOT_SIZE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMBASEPEOUNITOFISSUE,COM_ITEM_D,UNIT_OF_ISSUE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.EgpItemsPublicModelAM.InventoryItem,INVENTORYITEMTRANSLATIONPEOLANGUAGE,COM_ITEM_D,LANGUAGE,file_fscmtopmodelam_egpitemspublicmodelam_inventoryitem-,INVENTORYITEM
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPINVDISTAMOUNT,COM_SUPPLIER_D,SUPP_INV_DIST_AMOUNT,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,BUNAME,COM_SUPPLIER_D,BU_NAME,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERLASTUPDATEDATE,COM_SUPPLIER_D,SUPPLIERLASTUPDATEDATE,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERSITETERMSID,COM_SUPPLIER_D,PAYMENT_TERMS_ID,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPLIERBUSINESSRELATIONSHIP,COM_SUPPLIER_D,BUSINESS_RELATIONSHIP,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,ORGANIZATIONCEONAME,COM_SUPPLIER_D,CEO_NAME,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,ORGANIZATIONCEOTITLE,COM_SUPPLIER_D,CEO_TITLE,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,LOCATIONCITY,COM_SUPPLIER_D,LOCATION_CITY,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPLIERCORPORATEWEBSITE,COM_SUPPLIER_D,CORPORATE_WEBSITE,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,LOCATIONCOUNTRY,COM_SUPPLIER_D,LOCATION_COUNTRY,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPLIERENDDATEACTIVE,COM_SUPPLIER_D,SUPPLIER_END_DATE_ACTIVE,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPLIERHIERARCHYINVDISTHIERARCHYAMOUNT,COM_SUPPLIER_D,SUPPLIER_HIERARCHY_INVDIST_HIERARCHY_AMOUNT,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERSITESTATUS,COM_SUPPLIER_D,SUPPLIER_SITE_STATUS,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPLIERSTATUS,COM_SUPPLIER_D,SUPPLIER_STATUS,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERSITELOCATIONID,COM_SUPPLIER_D,SUPPLIER_SITE_LOCATION_ID,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,SUPPLIERORGANIZATIONTYPELOOKUPCODE,COM_SUPPLIER_D,SUPPLIER_ORGANIZATION_TYPE_LOOKUP_CODE,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,PARTYPARTYNAME,COM_SUPPLIER_D,SUPPLIER_NAME,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPPARTYPARTYNAME,COM_SUPPLIER_D,SUPP_SITE_SUPPLIER_NAME,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierPVO,PARTYPARTYNUMBER,COM_SUPPLIER_D,PARTY_NUMBER,file_fscmtopmodelam_prcpozpublicviewam_supplierpvo-,SUPPLIERPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERSITEPARTYSITEID,COM_SUPPLIER_D,SUPPLIER_SITE_SUPPLIER_SITE_ID,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,PARTYSITEPARTYSITENAME,COM_SUPPLIER_D,SUPPLIER_SITE_NAME,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERSITEPAYGROUPLOOKUPCODE,COM_SUPPLIER_D,SUPPLIER_SITE_PAY_GROUP_LOOKUP_CODE,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,SUPPLIERSITEPAYMENTCURRENCYCODE,COM_SUPPLIER_D,SUPPLIER_SITE_PAYMENT_CURRENCY_CODE,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
FscmTopModelAM.PrcPozPublicViewAM.SupplierSitePVO,BUSHORTCODE,COM_SUPPLIER_D,BU_SHORT_CODE,file_fscmtopmodelam_prcpozpublicviewam_suppliersitepvo-,SUPPLIERSITEPVO
